RAM,Loại RAM,Tốc độ Bus RAM,Hỗ trợ RAM tối đa,Ổ cứng,data_id
32 GB,LPDDR5 (Onboard),6400 MHz,Không hỗ trợ nâng cấp,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",339265
16 GB,DDR4 (Onboard),3200 MHz,Không hỗ trợ nâng cấp,512 GB SSD NVMe PCIe,327710
16 GB,DDR4 (8 GB onboard + 1 khe 8 GB),3200 MHz,24 GB,512 GB SSD NVMe PCIe Gen 4.0,340565
16 GB,DDR4 (1 khe 16 GB + 1 khe rời),2666 MHz,16 GB,512 GB SSD NVMe PCIe,340562
16 GB,DDR4 (8 GB onboard + 1 khe 8 GB),3200 MHz,24 GB,512 GB SSD NVMe PCIe,325477
16 GB,DDR5 (1 khe 16 GB + 1 khe rời),4800 MHz,32 GB,"['1 TB SSD M.2 PCIe Gen 4.0x4 (2242)', 'Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe Gen 4.0 mở rộng (nâng cấp tối đa 1 TB (2242))']",342526
16 GB,DDR4 (1 khe 16 GB + 1 khe rời),3200 MHz,64 GB,512 GB SSD NVMe PCIe,323325
16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),5200 MHz,16 GB,1 TB SSD M.2 PCIe,329852
16 GB,LPDDR5X (Onboard),Lên đến 8533 MHz,Không hỗ trợ nâng cấp,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",333425
32 GB,DDR5 (1 khe 16 GB + 1 khe 16 GB),5600 MHz,64 GB,"1 TB SSD M.2 PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",339655
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),3200 MHz,32 GB,512 GB SSD NVMe PCIe,302209
16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),5200 MHz,64 GB,512 GB SSD NVMe PCIe,338000
16 GB,DDR4 (8 GB onboard + 1 khe 8 GB),3200 MHz,40 GB,512 GB SSD NVMe PCIe,309375
16 GB,DDR4 (8 GB onboard + 1 khe 8 GB),3200 MHz,24 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",335170
16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),5200 MHz,32 GB,512 GB SSD NVMe PCIe,325244
16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),5600 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",328443
32 GB,LPDDR5X (Onboard),6400 MHz,Không hỗ trợ nâng cấp,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",338279
8 GB,DDR4 (1 khe 8 GB + 1 khe rời),Từ 2400 MHz (Hãng công bố),32 GB,"['512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)', 'Hỗ trợ thêm 1 khe cắm HDD SATA (nâng cấp tối đa 1 TB)']",304543
32 GB,DDR5 (1 khe 16 GB + 1 khe 16 GB),5600 MHz,64 GB,"1 TB SSD M.2 PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",332368
16 GB,DDR5 (1 khe 16 GB + 1 khe rời),4800 MHz,64 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",326637
16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),5200 MHz,32 GB,512 GB SSD NVMe PCIe Gen 4.0,329429
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),2666 MHz,16 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",328474
24 GB,DDR5 (1 khe 12 GB + 1 khe 12 GB),4800 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",328483
8 GB,DDR4 (1 khe 8 GB onboard + 1 khe trống),3200 MHz,64 GB,"['512 GB SSD NVMe PCIe Gen 4.0', 'Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng']",316941
8 GB,DDR4 (1 khe 8 GB onboard + 1 khe trống),2933 MHz,16 GB,512 GB SSD NVMe PCIe,317712
16 GB,DDR4 (1 khe 16 GB + 1 khe rời),2666 MHz,16 GB,512 GB SSD NVMe PCIe,340561
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),2666 MHz,16 GB,1 TB SSD NVMe PCIe Gen 4,338317
32 GB,DDR5 (1 khe 16 GB + 1 khe 16 GB),4800 MHz,32 GB,1 TB SSD NVMe PCIe Gen 4,333094
16 GB,DDR4 (1 khe 16 GB + 1 khe rời),3200 MHz,64 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",323335
8 GB,DDR4 (1 khe 8 GB + 1 khe rời),3200 MHz,32 GB,"['512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)', 'Hỗ trợ thêm 1 khe cắm HDD SATA (nâng cấp tối đa 1 TB)', 'Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB)']",272282
16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),5200 MHz,32 GB,512 GB SSD NVMe PCIe,313973
8 GB,DDR4 (1 khe 8 GB + 1 khe rời),3200 MHz,32 GB,"['512 GB SSD NVMe PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 2 TB)', 'Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe Gen 4 mở rộng (nâng cấp tối đa 2 TB)']",321436
16 GB,DDR5 (1 khe 16 GB + 1 khe rời),5200 MHz,32 GB,"512 GB SSD NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",329112
16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),5600 MHz,96 GB,512 GB SSD NVMe PCIe,336968
24 GB,DDR5 (1 khe 12 GB + 1 khe 12 GB),4800 MHz,24 GB,1 TB SSD NVMe PCIe Gen 4,339616
16 GB,DDR5 (1 khe 16 GB + 1 khe rời),5600 MHz,32 GB,"1 TB SSD NVMe PCIe Gen 4 x 4 (Có thể tháo ra, lắp thanh khác nâng cấp tối đa 4 TB)",329787
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),2666 MHz,16 GB,512 GB SSD NVMe PCIe,337471
32 GB,LPDDR5X (Onboard),7467 MHz,Không hỗ trợ nâng cấp,1 TB SSD NVMe PCIe Gen 4,336031
16 GB,DDR5 (Onboard),5600 MHz,Không hỗ trợ nâng cấp,512 GB SSD NVMe PCIe Gen 4.0,335171
16 GB,LPDDR5 (Onboard),6400 MHz,Không hỗ trợ nâng cấp,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",333872
8 GB,DDR5 (1 khe 8 GB + 1 khe trống),4800 MHz,16 GB,512 GB SSD NVMe PCIe,326876
16 GB,DDR5 (1 khe 16 GB + 1 khe rời),5200 MHz,64 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 4 TB)",337843
16 GB,LPDDR4X (Onboard),4800 MHz,Không hỗ trợ nâng cấp,"1 TB SSD M.2 PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",327506
16 GB,LPDDR5 (Onboard),6400 MHz,Không hỗ trợ nâng cấp,512 GB SSD NVMe PCIe Gen 4.0,328815
32 GB,LPDDR5X (Onboard),8533 MHz,Không hỗ trợ nâng cấp,1 TB SSD M.2 PCIe,333197
32 GB,DDR5 (1 khe 16 GB + 1 khe 16 GB),5600 MHz,96 GB,"['512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 4 TB)', 'Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 4 TB)']",339952
16 GB,DDR4 (8 GB onboard + 1 khe 8 GB),3200 MHz,16 GB,"512 GB SSD NVMe PCIe Gen 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2242) / 512 GB (2280))",313627
16 GB,DDR5 (1 khe RAM),5200 MHz,32 GB,512 GB SSD NVMe PCIe,339688
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),2666 MHz,16 GB,1 TB SSD M.2 PCIe,331508
16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),4400 MHz,24 GB,512 GB SSD NVMe PCIe,333107
16 GB,DDR5 (1 khe 16 GB + 1 khe rời),5600 MHz,64 GB,1 TB SSD NVMe PCIe Gen 4,339684
16 GB,LPDDR5 (Onboard),6400 MHz,Không hỗ trợ nâng cấp,"1 TB SSD M.2 PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",338208
16 GB,DDR4 (1 khe 16 GB + 1 khe rời),3200 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",327406
16 GB,LPDDR5 (Onboard),4800 MHz,Không hỗ trợ nâng cấp,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",327507
16 GB,DDR4 (1 khe 16 GB + 1 khe rời),3200 MHz,64 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",341626
16 GB,DDR5 (1 khe 16 GB + 1 khe rời),2400 MHz,96 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 4 TB)",341603
16 GB,DDR5 (1 khe 16 GB + 1 khe rời),5600 MHz,64 GB,"512 GB SSD NVMe PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",328130
16 GB,DDR4 (1 khe 16 GB + 1 khe rời),3200 MHz,64 GB,512 GB SSD NVMe PCIe Gen 4.0,339954
32 GB,LPDDR5X (Onboard),7467 MHz,Không hỗ trợ nâng cấp,"512 GB SSD NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",326558
16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),4800 MHz,64 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 4 TB)",337842
16 GB,DDR5 (1 khe 16 GB + 1 khe rời),5600 MHz,64 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",338315
16 GB,DDR4 (1 khe 16 GB onboard + 1 khe rời),3200 MHz,32 GB,512 GB SSD NVMe PCIe Gen 4.0,328951
16 GB,DDR4 (1 khe 16 GB + 1 khe rời),3200 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",327409
16 GB,DDR4 (8 GB onboard + 1 khe 8 GB),3200 MHz,24 GB,512 GB SSD NVMe PCIe,328950
"16 GB (Nguyên bản 8GB, được nâng cấp thêm 8GB)",DDR4 (1 khe 8 GB + 1 khe 8 GB),2666 MHz,16 GB,"['512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)', 'Hỗ trợ khe cắm HDD SATA (nâng cấp tối đa 2 TB)']",327981
16 GB,LPDDR5X (Onboard),7467 MHz,Không hỗ trợ nâng cấp,"512 GB SSD PCIe M.2 (2280) (Có thể tháo rời, lắp thanh khác tối đa 1 TB (2280))",341267
8 GB,DDR5 (1 khe 8 GB + 1 khe trống),5200 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",318354
16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),5200 MHz,64 GB,512 GB SSD NVMe PCIe Gen 4.0,325586
32 GB,LPDDR5X (Onboard),8533 MHz,Không hỗ trợ nâng cấp,1 TB SSD NVMe PCIe Gen 4,338280
16 GB,LPDDR5X (Onboard),6400 MHz,Không hỗ trợ nâng cấp,"512 GB SSD NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",335549
16 GB,LPDDR5X (Onboard),6400 MHz,Không hỗ trợ nâng cấp,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",325051
16 GB,DDR4 (1 khe 16 GB + 1 khe rời),3200 MHz,64 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",339686
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),2666 MHz,16 GB,512 GB SSD NVMe PCIe,328946
16 GB,LPDDR5 (Onboard),6400 MHz,Không hỗ trợ nâng cấp,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",331526
8 GB,DDR4 (1 khe 4 GB + 1 khe 4 GB),3200 MHz,32 GB,512 GB SSD NVMe PCIe,302533
16 GB,LPDDR5X (Onboard),4266 MHz,Không hỗ trợ nâng cấp,512 GB SSD NVMe PCIe Gen 4.0,325480
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),2666 MHz,16 GB,512 GB SSD NVMe PCIe,328473
16 GB,DDR5 (1 khe 8 GB onboard + 1 khe 8 GB),5200 MHz,24 GB,1 TB SSD M.2 PCIe,328947
8 GB,DDR5 (1 khe 8 GB + 1 khe trống),4800 MHz,64 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",327508
16 GB,DDR5 (1 khe 16 GB + 1 khe rời),5600 MHz,32 GB,"['Hỗ trợ thêm khe cắm SSD NVMe M.2 PCIe Gen 4.0 mở rộng (nâng cấp tối đa 2 TB (2280))', '512 GB SSD NVMe M.2 PCIe Gen 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2242))']",342514
32 GB,DDR5 (1 khe 16 GB + 1 khe 16 GB),5600 MHz,96 GB,1 TB SSD NVMe PCIe Gen 4,325588
16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),4800 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",329867
16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),5600 MHz,64 GB,512 GB SSD NVMe PCIe Gen 4.0,322098
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),3200 MHz,64 GB,"['512 GB SSD NVMe PCIe', 'Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng']",339953
16 GB,DDR5 (1 khe 16 GB + 1 khe rời),5200 MHz,64 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 4 TB)",339211
16 GB,DDR4 (8 GB onboard + 1 khe 8 GB),3200 MHz,16 GB,512 GB SSD NVMe PCIe,329858
32 GB,LPDDR5 (Onboard),6400 MHz,Không hỗ trợ nâng cấp,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",331527
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),3200 MHz,32 GB,512 GB SSD NVMe PCIe,309565
16 GB,LPDDR5X (Onboard),7467 MHz,Không hỗ trợ nâng cấp,512 GB SSD NVMe PCIe Gen 4.0,333098
16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),4800 MHz,32 GB,"1 TB SSD M.2 PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",327901
16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),4800 MHz,32 GB,"1 TB SSD M.2 PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",327900
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),2666 MHz,16 GB,512 GB SSD NVMe PCIe,326194
32 GB,LPDDR5X (Onboard),8533 MHz,Không hỗ trợ nâng cấp,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",339661
8 GB,DDR4 (1 khe 8 GB + 1 khe rời),3200 MHz,32 GB,"['512 GB SSD NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB)', 'Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng', 'Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng (nâng cấp tối đa 1 TB)']",313332
32 GB,DDR5 (1 khe 16 GB + 1 khe 16 GB),5600 MHz,32 GB,1 TB SSD NVMe PCIe Gen 4,339647
16 GB,LPDDR5X (Onboard),8533 MHz,Không hỗ trợ nâng cấp,"1 TB SSD M.2 PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",332397
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),2666 MHz,16 GB,512 GB SSD NVMe PCIe,328945
8 GB,DDR4 (1 khe 8 GB onboard + 1 khe trống),3200 MHz,16 GB,512 GB SSD NVMe PCIe,312414
16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),4800 MHz,32 GB,"512 GB SSD NVMe PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",327899
32 GB,DDR5 (1 khe 16 GB + 1 khe 16 GB),5600 MHz,32 GB,"['512 GB SSD NVMe M.2 PCIe Gen 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB (2242))', 'Hỗ trợ thêm 1 khe cắm SSD NVMe M.2 PCIe Gen 4.0 mở rộng (2280)']",342501
16 GB,LPDDR5 (Onboard),6400 MHz,Không hỗ trợ nâng cấp,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",333873
8 GB,LPDDR5 (Onboard),6400 MHz,Không hỗ trợ nâng cấp,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",322003
24 GB,DDR5 (1 khe 8 GB onboard + 1 khe 16 GB),4800 MHz,24 GB,"512 GB SSD NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",335550
16 GB,DDR5 (1 khe 16 GB + 1 khe rời),5600 MHz,96 GB,512 GB SSD NVMe PCIe,340006
32 GB,LPDDR5 (Onboard),8533 MHz,Không hỗ trợ nâng cấp,"1 TB SSD M.2 PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",335832
16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),5200 MHz,32 GB,512 GB SSD NVMe PCIe,339680
16 GB,LPDDR5X (Onboard),7467 MHz,Không hỗ trợ nâng cấp,"512 GB SSD PCIe M.2 (2280) (Có thể tháo rời, lắp thanh khác tối đa 1 TB (2280))",341266
16 GB,LPDDR5X (Onboard),8448 MHz,Không hỗ trợ nâng cấp,512 GB SSD NVMe PCIe,334800
16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),4800 MHz,64 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 4 TB)",339212
16 GB,DDR5 (1 khe RAM),5200 MHz,32 GB,1 TB SSD NVMe PCIe Gen 4,339690
16 GB,DDR5 (1 khe 8 GB onboard + 1 khe 8 GB),4800 MHz,24 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",337237
32 GB,LPDDR5 (Onboard),6400 MHz,Không hỗ trợ nâng cấp,1 TB SSD NVMe PCIe Gen 4,322959
16 GB,LPDDR5X (Onboard),7467 MHz,Không hỗ trợ nâng cấp,512 GB SSD NVMe PCIe,334796
16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),5600 MHz,16 GB,"512 GB SSD NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",341623
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),2666 MHz,16 GB,512 GB SSD NVMe PCIe,326148
32 GB,LPDDR5X (Onboard),7467 MHz,Không hỗ trợ nâng cấp,1 TB SSD NVMe PCIe Gen 4,333099
16 GB,DDR5 (1 khe 8 GB onboard + 1 khe 8 GB),4800 MHz,24 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",337242
16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),5600 MHz,64 GB,1 TB SSD M.2 PCIe,326280
16 GB,DDR5 (1 khe 16 GB + 1 khe rời),5600 MHz,96 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 4 TB)",332579
32 GB,DDR5 (1 khe 16 GB + 1 khe 16 GB),5600 MHz,64 GB,"1 TB SSD M.2 PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 4 TB)",341750
16 GB,DDR5 (1 khe 16 GB onboard + 1 khe rời),4800 MHz,32 GB,512 GB SSD NVMe PCIe,338321
24 GB,LPDDR5X (Onboard),8000 MHz,Không hỗ trợ nâng cấp,512 GB SSD NVMe PCIe,335172
16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),5600 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",326059
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),3200 MHz,32 GB,"['512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)', 'Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 2 TB)', 'Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng']",329337
32 GB,DDR5 (1 khe 16 GB + 1 khe 16 GB),5600 MHz,32 GB,"1 TB SSD NVMe PCIe Gen 4 x 4 (Có thể tháo ra, lắp thanh khác nâng cấp tối đa 4 TB)",329789
32 GB,DDR5 (1 khe 16 GB + 1 khe 16 GB),5600 MHz,64 GB,"1 TB SSD M.2 PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",323585
16 GB,DDR5 (1 khe 16 GB + 1 khe rời),2400 MHz,96 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 4 TB)",341608
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),3200 MHz,32 GB,"['1 TB SSD M.2 PCIe', 'Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe mở rộng (nâng cấp tối đa 1 TB)']",317709
16 GB,DDR5 (Onboard),5200 MHz,Không hỗ trợ nâng cấp,512 GB SSD NVMe PCIe,334799
16 GB,LPDDR5 (Onboard),6400 MHz,Không hỗ trợ nâng cấp,512 GB SSD NVMe PCIe,326824
32 GB,LPDDR5X (Onboard),8533 MHz,Không hỗ trợ nâng cấp,"['1 TB SSD NVMe PCIe Gen 4 x 4 (Có thể tháo ra, lắp thanh khác nâng cấp tối đa 4 TB)', 'Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe Gen 4 mở rộng']",335020
32 GB,LPDDR5X (Onboard),8400 MHz,Không hỗ trợ nâng cấp,"1 TB SSD M.2 PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",339659
16 GB,DDR5 (1 khe 16 GB + 1 khe rời),5200 MHz,64 GB,"512 GB SSD PCIe M.2 (2280) (Có thể tháo rời, lắp thanh khác tối đa 4 TB (2280))",341751
16 GB,DDR5 (1 khe 16 GB + 1 khe rời),5600 MHz,64 GB,1 TB SSD NVMe PCIe Gen 4,339685
8 GB,DDR4 (1 khe 4 GB + 1 khe 4 GB),3200 MHz,16 GB,512 GB SSD NVMe PCIe,311145
16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),4800 MHz,32 GB,"['512 GB SSD NVMe PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 2 TB)', 'Hỗ trợ thêm 1 khe cắm SSD M.2 PCIe Gen 4 mở rộng (nâng cấp tối đa 2 TB)']",315892
16 GB,DDR4 (1 khe 16 GB + 1 khe rời),3200 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",327408
16 GB,DDR5 (1 khe 8 GB onboard + 1 khe 8 GB),4800 MHz,24 GB,"512 GB SSD NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",334444
32 GB,DDR5 (1 khe 16 GB + 1 khe 16 GB),5600 MHz,32 GB,1 TB SSD NVMe PCIe Gen 4,339648
16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),5600 MHz,96 GB,"512 GB SSD PCIe M.2 (2280) (Có thể tháo rời, lắp thanh khác tối đa 4 TB (2280))",341611
32 GB,LPDDR5X (Onboard),4800 MHz,32 GB,1 TB SSD NVMe PCIe Gen 4,321468
16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),5600 MHz,96 GB,512 GB SSD NVMe PCIe Gen 4.0,322099
16 GB,DDR4 (8 GB onboard + 1 khe 8 GB),2666 MHz,16 GB,512 GB SSD NVMe PCIe,330165
32 GB,LPDDR5X (Onboard),7467 MHz,Không hỗ trợ nâng cấp,1 TB SSD NVMe PCIe Gen 4,334798
8 GB,DDR4 (1 khe 4 GB + 1 khe 4 GB),3200 MHz,32 GB,512 GB SSD NVMe PCIe,315911
16 GB,DDR5 (1 khe 16 GB + 1 khe rời),5200 MHz,64 GB,"512 GB SSD PCIe M.2 (2280) (Có thể tháo rời, lắp thanh khác tối đa 4 TB (2280))",341752
24 GB,DDR5 (1 khe 8 GB onboard + 1 khe 16 GB),4800 MHz,24 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",337241
32 GB,LPDDR5X (Onboard),7467 MHz,Không hỗ trợ nâng cấp,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",339658
16 GB,LPDDR5X (Onboard),5200 MHz,Không hỗ trợ nâng cấp,512 GB SSD NVMe PCIe Gen 4.0,320431
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),3200 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",327974
16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),5200 MHz,32 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",325002
32 GB,LPDDR5X (Onboard),8533 MHz,Không hỗ trợ nâng cấp,"1 TB SSD M.2 PCIe Gen 4 (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",339662
32 GB,DDR5 (1 khe 16 GB + 1 khe 16 GB),5600 MHz,64 GB,"1 TB SSD NVMe PCIe Gen 4 x 4 (Có thể tháo ra, lắp thanh khác nâng cấp tối đa 4 TB)",337841
16 GB,DDR5 (1 khe 16 GB + 1 khe rời),5200 MHz,32 GB,"512 GB SSD M.2 NVMe PCIe 4.0 (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",342752
16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),5200 MHz,32 GB,1 TB SSD M.2 PCIe,326864
32 GB,LPDDR5X (Onboard),7500 MHz,Không hỗ trợ nâng cấp,512 GB SSD NVMe PCIe Gen 4.0,334802
16 GB,LPDDR5 (Onboard),8448 MHz,Hãng không công bố,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB)",335835
16 GB,LPDDR5X (Onboard),8448 MHz,Không hỗ trợ nâng cấp,512 GB SSD NVMe PCIe,339234
32 GB,LPDDR5X (Onboard),8533 MHz,Không hỗ trợ nâng cấp,1 TB SSD M.2 PCIe,337236
16 GB,DDR5 (1 khe 8 GB + 1 khe 8 GB),5600 MHz,96 GB,"512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 4 TB)",339951
16 GB,DDR4 (1 khe 8 GB + 1 khe 8 GB),2666 MHz,16 GB,"['512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 2 TB (2280) / 1 TB (2230))', 'Hỗ trợ khe cắm HDD SATA 2.5 inch mở rộng (nâng cấp tối đa 1 TB)']",327509
